Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Action Updated Date,Community Board,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Park Facility Name,Park Borough,School Name,School Number,School Region,School Code,School Phone Number,School Address,School City,School State,School Zip,School Not Found,School or Citywide Complaint,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Garage Lot Name,Ferry Direction,Ferry Terminal Name,Latitude,Longitude,Location
33754675,07/04/2016 09:46:36 AM,07/04/2016 10:40:30 AM,NYPD,New York City Police Department,Illegal Fireworks,N/A,Street/Sidewalk,10026,437 MANHATTAN AVENUE,MANHATTAN AVENUE,WEST 118 STREET,WEST 119 STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,07/04/2016 05:46:36 PM,07/04/2016 10:40:30 AM,10 MANHATTAN,MANHATTAN,996510,233134,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.8065663449235,-73.95571410626114,"(40.8065663449235, -73.95571410626114)"
33755180,07/04/2016 10:23:32 PM,07/04/2016 10:54:47 PM,NYPD,New York City Police Department,Illegal Fireworks,N/A,Residential Building/House,11225,301 SULLIVAN PLACE,SULLIVAN PLACE,ROGERS AVENUE,NOSTRAND AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,07/05/2016 06:23:32 AM,07/04/2016 10:54:47 PM,09 BROOKLYN,BROOKLYN,997727,181436,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.66466637644593,-73.95142159005617,"(40.66466637644593, -73.95142159005617)"
33755181,07/04/2016 10:19:04 PM,07/05/2016 12:06:12 AM,NYPD,New York City Police Department,Illegal Fireworks,N/A,Street/Sidewalk,11418,,,,,PARK LANE SOUTH,107 STREET,INTERSECTION,RICHMOND HILL,,Precinct,Closed,07/05/2016 06:19:04 AM,07/05/2016 12:06:12 AM,09 QUEENS,QUEENS,1027800,194546,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.700553434730125,-73.84293762691027,"(40.700553434730125, -73.84293762691027)"
33755199,07/04/2016 03:29:40 AM,07/04/2016 09:34:12 AM,NYPD,New York City Police Department,Illegal Fireworks,N/A,Street/Sidewalk,11229,,,,,AVENUE U,HOMECREST AVENUE,INTERSECTION,BROOKLYN,,Precinct,Closed,07/04/2016 11:29:40 AM,07/04/2016 09:34:12 AM,15 BROOKLYN,BROOKLYN,995585,157338,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.59852547620388,-73.95918299191548,"(40.59852547620388, -73.95918299191548)"
33755306,07/04/2016 02:17:37 PM,07/04/2016 03:02:36 PM,NYPD,New York City Police Department,Illegal Fireworks,N/A,Street/Sidewalk,10472,1940 ELLIS AVENUE,ELLIS AVENUE,VIRGINIA AVENUE,PUGSLEY AVENUE,,,ADDRESS,BRONX,,Precinct,Closed,07/04/2016 10:17:37 PM,07/04/2016 03:02:36 PM,09 BRONX,BRONX,1023073,242244,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.831493908094046,-73.85970994618422,"(40.831493908094046, -73.85970994618422)"
33755888,07/04/2016 05:29:52 PM,07/04/2016 05:52:53 PM,NYPD,New York City Police Department,Illegal Fireworks,N/A,Street/Sidewalk,11213,,,,,SCHENECTADY AVENUE,MONTGOMERY STREET,INTERSECTION,BROOKLYN,,Precinct,Closed,07/05/2016 01:29:52 AM,07/04/2016 05:52:53 PM,09 BROOKLYN,BROOKLYN,1002475,181377,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.66449593427242,-73.93430739062177,"(40.66449593427242, -73.93430739062177)"
33756517,07/04/2016 10:59:13 AM,07/04/2016 04:17:31 PM,NYPD,New York City Police Department,Illegal Fireworks,N/A,Park/Playground,11249,,,,,WYTHE AVENUE,DIVISION AVENUE,INTERSECTION,BROOKLYN,,Precinct,Closed,07/04/2016 06:59:13 PM,07/04/2016 04:17:31 PM,01 BROOKLYN,BROOKLYN,993319,196858,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.70700184687184,-73.96728965050787,"(40.70700184687184, -73.96728965050787)"
33756826,07/05/2016 01:33:29 AM,07/05/2016 11:07:30 AM,NYPD,New York City Police Department,Illegal Fireworks,N/A,Street/Sidewalk,10451,811 WALTON AVENUE,WALTON AVENUE,EAST 157 STREET,EAST 158 STREET,,,ADDRESS,BRONX,,Precinct,Closed,07/05/2016 09:33:29 AM,07/05/2016 11:07:30 AM,04 BRONX,BRONX,1004949,240015,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.82543701491463,-73.92520931892479,"(40.82543701491463, -73.92520931892479)"
33757191,07/04/2016 10:44:45 PM,07/04/2016 10:50:09 PM,NYPD,New York City Police Department,Illegal Fireworks,N/A,Street/Sidewalk,10040,,,,,WEST  190 STREET,BROADWAY,INTERSECTION,NEW YORK,,Precinct,Closed,07/05/2016 06:44:45 AM,07/04/2016 10:50:09 PM,12 MANHATTAN,MANHATTAN,1002850,251332,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.85650353983471,-73.93276214226914,"(40.85650353983471, -73.93276214226914)"
33757192,07/04/2016 09:22:55 AM,07/04/2016 11:23:43 AM,NYPD,New York City Police Department,Illegal Fireworks,N/A,Street/Sidewalk,10027,LASALLE STREET,LASALLE STREET,AMSTERDAM AVENUE,BROADWAY,,,BLOCKFACE,NEW YORK,,Precinct,Closed,07/04/2016 05:22:55 PM,07/04/2016 11:23:43 AM,09 MANHATTAN,MANHATTAN,,,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,,,
